id,name,photo_url,introduction,birth_date
14,Michael Caine,https://m.media-amazon.com/images/M/MV5BMjAwNzIwNTQ4Ml5BMl5BanBnXkFtZTYwMzE1MTUz._V1_.jpg,"
Michael Caine was born Maurice Joseph Micklewhite in London, to Ellen Frances Marie (Burchell), a charlady, and Maurice Joseph Micklewhite, a fish-market porter. He left school at age 15 and took a series of working-class jobs before joining the British army and serving in Korea during the Korean War, where he saw combat. Upon his return to ...            ",1933-3-14
15,Maggie Gyllenhaal,https://m.media-amazon.com/images/M/MV5BMTM1MjY3NzA4NF5BMl5BanBnXkFtZTcwNzE4MjMyMw@@._V1_.jpg,"
Academy Award-nominated actress Maggie Gyllenhaal was born on November 16, 1977, on the Lower East Side of Manhattan in New York City. Her parents, ",1977-11-16
16,Robert De Niro,https://m.media-amazon.com/images/M/MV5BMjAwNDU3MzcyOV5BMl5BanBnXkFtZTcwMjc0MTIxMw@@._V1_.jpg,"
One of the greatest actors of all time, Robert De Niro was born on August 17, 1943 in Manhattan, New York City, to artists Virginia (Admiral) and ",1943-8-17
17,Robert Duvall,https://m.media-amazon.com/images/M/MV5BMjk1MjA2Mjc2MF5BMl5BanBnXkFtZTcwOTE4MTUwMg@@._V1_.jpg,"
Veteran actor and director Robert Selden Duvall was born on January 5, 1931, in San Diego, CA, to Mildred Virginia (Hart), an amateur actress, and William Howard Duvall, a career military officer who later became an admiral. Duvall majored in drama at Principia College (Elsah, IL), then served a two-year hitch in the army after graduating in 1953....            ",1931-1-5
18,John Cazale,https://m.media-amazon.com/images/M/MV5BMTUzMTM1MjI5NV5BMl5BanBnXkFtZTcwMTM5NTM1Mw@@._V1_.jpg,"
John Cazale was born in Boston, Massachusetts, to an Irish-American mother, Cecilia (Holland), and an Italian-American father, John Cazale. Cazale only made five feature films in his career, all which many fans and critics alike call classics. But before his film debut, the short ",1935-8-12
19,Talia Shire,https://m.media-amazon.com/images/M/MV5BMTkwMzc0NjQzNV5BMl5BanBnXkFtZTYwNzM0NTk3._V1_.jpg,"
Talia Shire was born on April 25, 1946 in Lake Success, Long Island, New York, USA. She is an actress and producer, known for ",1946-4-25
20,Lee Strasberg,https://m.media-amazon.com/images/M/MV5BNTkzNDM2OTA4N15BMl5BanBnXkFtZTcwMDg2MzY2OQ@@._V1_.jpg,"
Famed acting teacher Lee Strasberg was born Israel Strassberg in Budzanov, Austria-Hungary (now Budanov, Ukraine). Brought to America as a child, he had a brief acting career, before becoming one of the founders of the Group Theatre in 1931, directing a number of plays there. His greatest influence, however, was through the Actors Studio, where he ...            ",1901-11-17
21,Henry Fonda,https://m.media-amazon.com/images/M/MV5BOTEwNjQ2ODQ4Nl5BMl5BanBnXkFtZTYwMzEwMTM2._V1_.jpg,"
Born in Grand Island, Nebraska, Henry Fonda started his acting debut with the Omaha Community Playhouse, a local amateur theater troupe directed by Dorothy Brando. He moved to the Cape Cod University Players and later Broadway, New York to expand his theatrical career from 1926 to 1934. His first major roles in Broadway include ""New Faces of ...            ",1905-5-16
22,Lee J. Cobb,https://m.media-amazon.com/images/M/MV5BNDc3MTM0MDQyMF5BMl5BanBnXkFtZTYwMTczMTg2._V1_.jpg,"
Lee J. Cobb, one of the premier character actors in American film for three decades in the post-World War II period, was born Leo Jacoby in New York City's Lower East Side on December 8, 1911. The son of a Jewish newspaper editor, young Leo was a child prodigy in music, mastering the violin and the harmonica. Any hopes of a career as a violin ...            ",1911-12-8
23,Martin Balsam,https://m.media-amazon.com/images/M/MV5BMTQwOTE4MjMxM15BMl5BanBnXkFtZTcwMDc5MDg5Nw@@._V1_.jpg,"
Martin Henry Balsam was born on November 4, 1919 in the Bronx, New York City, to Lillian (Weinstein) and Albert Balsam, a manufacturer of women's sportswear. He was the first-born child. His father was a Russian Jewish immigrant, and his mother was born in New York, to Russian Jewish parents. Martin caught the acting bug in high school where he ...            ",1919-11-4
24,John Fiedler,https://m.media-amazon.com/images/M/MV5BMTc1Njg3NDg1OF5BMl5BanBnXkFtZTcwMjY2MTYxOA@@._V1_.jpg,"
Typical of busy character actors, Fiedler made his face (and voice) recognizable to millions. Many know the bald-pated Fiedler as therapy patient ""Mr. Peterson"" on ",1925-2-3
25,E.G. Marshall,https://m.media-amazon.com/images/M/MV5BMTY3Nzg5MTMwOF5BMl5BanBnXkFtZTYwMzk2MTQ2._V1_.jpg,"
With over 150 Film and TV appearances to his credit, E. G. Marshall was arguably most well known as the imperturbable Juror No. 4 in the ",1914-6-18
26,Liam Neeson,https://m.media-amazon.com/images/M/MV5BMjA1MTQ3NzU1MV5BMl5BanBnXkFtZTgwMDE3Mjg0MzE@._V1_.jpg,"
Liam Neeson was born on June 7, 1952 in Ballymena, Northern Ireland, to Katherine (Brown), a cook, and Bernard Neeson, a school caretaker. He was raised in a Catholic household. During his early years, Liam worked as a forklift operator for Guinness, a truck driver, an assistant architect and an amateur boxer. He had originally sought a career as ...            ",1952-6-7
27,Ralph Fiennes,https://m.media-amazon.com/images/M/MV5BMzc5MjE1NDgyN15BMl5BanBnXkFtZTcwNzg2ODgwNA@@._V1_.jpg,"
Actor Ralph Nathaniel Twisleton-Wykeham-Fiennes was born on December 22, 1962 in Suffolk, England, to Jennifer Anne Mary Alleyne (Lash), a novelist, and Mark Fiennes, a photographer. He is the eldest of six children. Four of his siblings are also in the arts: ",1962-12-22
28,Ben Kingsley,https://m.media-amazon.com/images/M/MV5BOTU2Njg2NzM4M15BMl5BanBnXkFtZTgwNjYwNjQwMTI@._V1_.jpg,"
Ben Kingsley was born Krishna Bhanji on December 31, 1943 in Scarborough, Yorkshire, England. His father, Rahimtulla Harji Bhanji, was a Kenyan-born medical doctor, of Gujarati Indian descent, and his mother, Anna Lyna Mary (Goodman), was an English actress. Ben began to act in stage plays during the 1960s. He soon became a successful stage actor,...            ",1943-12-31
29,Caroline Goodall,https://m.media-amazon.com/images/M/MV5BOTU2MDE0NzMxOV5BMl5BanBnXkFtZTcwNjE2OTg1OA@@._V1_.jpg,"
Born in Britain to Australian parents, Caroline Goodall is internationally known as a leading actress who has starred in some of the biggest blockbusters of the 90's, including ",1959-11-13
30,Jonathan Sagall,https://m.media-amazon.com/images/M/MV5BOGM4ZDg2MWMtNGNjNC00NWQ3LWE0NzktYWE3NjNiNWVkYWFjXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_.jpg,"
Born and raised in Toronto, Canada. During his teens, his family moved to Israel where his film career began as an actor. He auditioned to a few acting schools in England, got accepted to four. He graduated from the Guildhall School of Music & Drama in London England. ""Lipstikka"" (Odem, Israel/UK 2011), his feature film as writer-director-producer, ...            ",1959-4-23
31,Elijah Wood,https://m.media-amazon.com/images/M/MV5BMTM0NDIxMzQ5OF5BMl5BanBnXkFtZTcwNzAyNTA4Nw@@._V1_.jpg,"
Elijah Wood is an American actor best known for portraying Frodo Baggins in ",1981-1-28
32,Viggo Mortensen,https://m.media-amazon.com/images/M/MV5BNDQzOTg4NzA2Nl5BMl5BanBnXkFtZTcwMzkwNjkxMg@@._V1_.jpg,"
Since his screen debut as a young Amish farmer in ",1958-10-20
33,Ian McKellen,https://m.media-amazon.com/images/M/MV5BMTQ2MjgyNjk3MV5BMl5BanBnXkFtZTcwNTA3NTY5Mg@@._V1_.jpg,"
Widely regarded as one of greatest stage and screen actors both in his native Great Britain and internationally, twice nominated for the Oscar and recipient of every major theatrical award in the UK and US, Ian Murray McKellen was born on May 25, 1939 in Burnley, Lancashire, England, to Margery Lois (Sutcliffe) and Denis Murray McKellen, a civil ...            ",1939-5-25
34,Orlando Bloom,https://m.media-amazon.com/images/M/MV5BMjE1MDkxMjQ3NV5BMl5BanBnXkFtZTcwMzQ3Mjc4MQ@@._V1_.jpg,"
Orlando Jonathan Blanchard Copeland Bloom was born on January 13, 1977 in Canterbury, Kent, England. His mother, Sonia Constance Josephine Bloom (née Copeland), was born in Kolkata, India, to an English family then-resident there. The man he first knew as his father, Harry Bloom, was a legendary political activist who fought for civil rights in ...            ",1977-1-13
35,Ali Astin,https://m.media-amazon.com/images/M/MV5BMTYzYzBmZDQtYjRmZi00YTBjLWE0OGItZTAxYzQxZjg2NDBhXkEyXkFqcGdeQXVyMTEyMTY0MTE2._V1_.jpg,"
Ali Astin was born on November 27, 1996 in California, USA. She is an actress, known for ",1996-11-27
36,John Travolta,https://m.media-amazon.com/images/M/MV5BMTMyMjZlYzgtZWRjMC00OTRmLTllZTktMmM1ODVmNjljMTQyXkEyXkFqcGdeQXVyMTExNzQ3MzAw._V1_.jpg,"
John Joseph Travolta was born in Englewood, New Jersey, one of six children of ",1954-2-18
37,Uma Thurman,https://m.media-amazon.com/images/M/MV5BMjMxNzk1MTQyMl5BMl5BanBnXkFtZTgwMDIzMDEyMTE@._V1_.jpg,"
Uma Karuna Thurman was born in Boston, Massachusetts, into a highly unorthodox and internationally-minded family. She is the daughter of ",1970-4-29
38,Samuel L. Jackson,https://m.media-amazon.com/images/M/MV5BMTQ1NTQwMTYxNl5BMl5BanBnXkFtZTYwMjA1MzY1._V1_.jpg,"
Samuel L. Jackson is an American producer and highly prolific actor, having appeared in over 100 films, including ",1948-12-21
39,Bruce Willis,https://m.media-amazon.com/images/M/MV5BMjA0MjMzMTE5OF5BMl5BanBnXkFtZTcwMzQ2ODE3Mw@@._V1_.jpg,"
Actor and musician Bruce Willis is well known for playing wisecracking or hard-edged characters, often in spectacular action films. Collectively, he has appeared in films that have grossed in excess of $2.5 billion USD. Walter Bruce Willis was born on March 19, 1955, in Idar-Oberstein, West Germany, to a German mother, Marlene Kassel, and an ...            ",1955-3-19
40,Tim Roth,https://m.media-amazon.com/images/M/MV5BMjA5NTA3MDQyOV5BMl5BanBnXkFtZTcwODM4NDE3Mw@@._V1_.jpg,"
Often mistaken for an American because of his skill at imitating accents, actor Tim Roth was born Timothy Simon Roth on May 14, 1961 in Lambeth, London, England. His mother, Ann, was a teacher and landscape painter. His father, Ernie, was a journalist who had changed the family name from ""Smith"" to ""Roth""; Ernie was born in Brooklyn, New York, to ...            ",1961-5-14
41,Sean Bean,https://m.media-amazon.com/images/M/MV5BMTkzMzc4MDk5OF5BMl5BanBnXkFtZTcwODg3MjUxNw@@._V1_.jpg,"
Sean Bean's career since the eighties spans theatre, radio, television and movies. Bean was born in Handsworth, Sheffield, South Yorkshire, to Rita (Tuckwood) and Brian Bean. He worked for his father's welding firm before he decided to become an actor. He attended RADA in London and appeared in a number of West End stage productions including ...            ",1959-4-17
42,Alan Howard,https://m.media-amazon.com/images/M/MV5BMTQyMDYwNzY3OF5BMl5BanBnXkFtZTcwMDYxMTUwOA@@._V1_.jpg,"
Alan Howard was born on August 5, 1937 in London, England. He was an actor, known for ",1937-8-5
43,Sean Astin,https://m.media-amazon.com/images/M/MV5BMjEzMjczOTQ1NF5BMl5BanBnXkFtZTcwMzI2NzYyMQ@@._V1_.jpg,"
Sean Patrick Astin (né Duke; February 25, 1971) is an American actor, voice actor, screenwriter, director, producer, family man, author, marathon runner, political activist and philanthropist who is well known for his film debut portraying Mikey in Steven Spielberg's ",1971-2-25
44,Sala Baker,https://m.media-amazon.com/images/M/MV5BNTI0M2E4NzctNzY1OC00ZDYwLWI4MTAtMTliNTVkODhlODY0XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_.jpg,"
Sala Baker was born on September 22, 1976 in Wellington, New Zealand. He is known for ",1976-9-22
45,Cate Blanchett,https://m.media-amazon.com/images/M/MV5BMTc1MDI0MDg1NV5BMl5BanBnXkFtZTgwMDM3OTAzMTE@._V1_.jpg,"
Cate Blanchett was born on May 14, 1969 in Melbourne, Victoria, Australia, to June (Gamble), an Australian teacher and property developer, and Robert DeWitt Blanchett, Jr., an American advertising executive, originally from Texas. She has an older brother and a younger sister. When she was ten years old, her 40-year-old father died of a sudden ...            ",1969-5-14
46,Clint Eastwood,https://m.media-amazon.com/images/M/MV5BMTg3MDc0MjY0OV5BMl5BanBnXkFtZTcwNzU1MDAxOA@@._V1_.jpg,"
",1930-5-31
47,Eli Wallach,https://m.media-amazon.com/images/M/MV5BMjA4OTM3ODQ5MF5BMl5BanBnXkFtZTgwMzE3OTcwMjE@._V1_.jpg,"
One of Hollywood's finest character / ""Method"" actors, Eli Wallach was in demand for over 60 years (first film/TV role was 1949) on stage and screen, and has worked alongside the world's biggest stars, including ",1915-12-7
48,Lee Van Cleef,https://m.media-amazon.com/images/M/MV5BMTY0ODU1NjY5N15BMl5BanBnXkFtZTcwNTI0NzEyMw@@._V1_.jpg,"
One of the great movie villains, Clarence Leroy Van Cleef, Jr. was born in Somerville, New Jersey, to Marion Lavinia (Van Fleet) and Clarence LeRoy Van Cleef, Sr. His parents were both of Dutch ancestry. Van Cleef started out as an accountant. He served in the U.S. Navy aboard minesweepers and sub chasers during World War II. After the war he ...            ",1925-1-9
49,Aldo Giuffrè,https://m.media-amazon.com/images/M/MV5BNTBhYjI5NmEtMjc4OS00YTM4LWE2NTEtOGEwYzNmOGNmOGI0XkEyXkFqcGdeQXVyMzI5NDcxNzI@._V1_.jpg,"
Aldo Giuffrè was born on April 10, 1924 in Naples, Italy. He is known for ",1924-4-10
50,Luigi Pistilli,https://m.media-amazon.com/images/M/MV5BMTM2MzM4MDI5OV5BMl5BanBnXkFtZTcwNjU2NzEyMw@@._V1_.jpg,"
Luisi Pistilli's most notable stage successes were roles in ""The Threepenny Opera"", ""St. Joan of the Stockyards"" and a 1972 production, ""Lulu"". In 1991 he reprised his role in ""Lulu"" in the first professional collaboration with actress-singer ",1929-7-19
51,Tom Hanks,https://m.media-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@._V1_.jpg,"
Thomas Jeffrey Hanks was born in Concord, California, to Janet Marylyn (Frager), a hospital worker, and Amos Mefford Hanks, an itinerant cook. His mother's family, originally surnamed ""Fraga"", was entirely Portuguese, while his father was of mostly English ancestry. Tom grew up in what he has called a ""fractured"" family. He moved around a great ...            ",1956-7-9
52,Robin Wright,https://m.media-amazon.com/images/M/MV5BMTU0NTc4MzEyOV5BMl5BanBnXkFtZTcwODY0ODkzMQ@@._V1_.jpg,"
Robin Gayle Wright was born in Dallas, Texas, to Gayle (Gaston), a national director at Mary Kay, and Freddie Wright, a pharmaceutical executive. She grew up in San Diego, California. She started her professional career as a model in 1980 at age 14, and worked both in Paris and Japan. After finishing high school she decided to become an actress. ...            ",1966-4-8
53,Gary Sinise,https://m.media-amazon.com/images/M/MV5BMzE4NzcyMzU3OV5BMl5BanBnXkFtZTYwOTM2NDE2._V1_.jpg,"
Gary Alan Sinise was born in Blue Island, Illinois, to Mylles S. (Alsip) and ",1955-3-17
54,Sally Field,https://m.media-amazon.com/images/M/MV5BMTQwOTMyMDI4MV5BMl5BanBnXkFtZTcwMDYzMTM5OA@@._V1_.jpg,"
Sally Margaret Field was born November 6, 1946 in Pasadena, California, to actress ",1946-11-6
55,Michael Conner Humphreys,https://m.media-amazon.com/images/M/MV5BNDE1NGY4ODAtODMxMS00YjU2LTk3ZWItMDFkNDAzOWJhZDE0XkEyXkFqcGdeQXVyNTgzMzk4NDQ@._V1_.jpg,"
Michael Conner Humphreys was born in 1985 in Independence, Mississippi, USA. He is an actor, known for ",1985-0-0
56,Brad Pitt,https://m.media-amazon.com/images/M/MV5BMjA1MjE2MTQ2MV5BMl5BanBnXkFtZTcwMjE5MDY0Nw@@._V1_.jpg,"
An actor and producer known as much for his versatility as he is for his handsome face, Golden Globe-winner Brad Pitt's most widely recognized role may be Tyler Durden in ",1963-12-18
57,Edward Norton,https://m.media-amazon.com/images/M/MV5BMTYwNjQ5MTI1NF5BMl5BanBnXkFtZTcwMzU5MTI2Mw@@._V1_.jpg,"
American actor, filmmaker and activist Edward Harrison Norton was born on August 18, 1969, in Boston, Massachusetts, and was raised in Columbia, Maryland. His mother, Lydia Robinson ""Robin"" (Rouse), was a foundation executive and teacher of English, and a daughter of famed real estate developer James Rouse, who developed Columbia, MD; she passed ...            ",1969-8-18
58,Meat Loaf,https://m.media-amazon.com/images/M/MV5BMTIzNTQ4MjYyOV5BMl5BanBnXkFtZTcwNzgwNTEzMg@@._V1_.jpg,"
Meat Loaf was born Marvin Lee Aday in Dallas, Texas, to Wilma Artie (Hukel), a teacher and gospel singer, and Orvis Wesley Aday, a police officer. He moved to Los Angeles in 1967 to play in local bands. In 1970, he moved to New York and appeared in the Broadway musicals ""Hair"", ""Rockabye Hamlet"" and ""The Rocky Horror Show,"" and Off Broadway in ""...            ",1947-9-27
59,Zach Grenier,https://m.media-amazon.com/images/M/MV5BOWYwZDJlODgtYzZmYi00YWMyLTk5ZWEtNTYzY2FiZGUwODcwXkEyXkFqcGdeQXVyMDA2MzUzNg@@._V1_.jpg,"
Zach Grenier was born on February 12, 1954 in Englewood, New Jersey, USA. He is an actor, known for ",1954-2-12
60,Richmond Arquette,https://m.media-amazon.com/images/M/MV5BMjM1NDgxOTQwM15BMl5BanBnXkFtZTgwNzEyNjg4MDE@._V1_.jpg,"
Richmond Arquette was born on August 21, 1963 in New York City, New York, USA. He is an actor and writer, known for ",1963-8-21
61,Leonardo DiCaprio,https://m.media-amazon.com/images/M/MV5BMjI0MTg3MzI0M15BMl5BanBnXkFtZTcwMzQyODU2Mw@@._V1_.jpg,"
Few actors in the world have had a career quite as diverse as Leonardo DiCaprio's. DiCaprio has gone from relatively humble beginnings, as a supporting cast member of the sitcom ",1974-11-11
62,Joseph Gordon-Levitt,https://m.media-amazon.com/images/M/MV5BMTY3NTk0NDI3Ml5BMl5BanBnXkFtZTgwNDA3NjY0MjE@._V1_.jpg,"
Joseph Leonard Gordon-Levitt was born February 17, 1981 in Los Angeles, California, to Jane Gordon and Dennis Levitt. Joseph was raised in a Jewish family with his late older brother, ",1981-2-17
63,Elliot Page,https://m.media-amazon.com/images/M/MV5BYWY0NzFmYjAtYzMwNC00ODc3LWI2ZWEtOTU3YTM0Y2ZiNTM5XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_.jpg,"
Elliot Page was born in Halifax, Nova Scotia to Martha Philpotts, a teacher, and Dennis Page, a graphic designer. Page wanted to start acting at an early age and attended the Neptune Theater School. They began their career at the age of 10 on the award-winning television series ",1987-2-21
64,Ken Watanabe,https://m.media-amazon.com/images/M/MV5BMTQzMTUzNjc4Nl5BMl5BanBnXkFtZTcwMTUyODU2Mw@@._V1_.jpg,"
Ken Watanabe was born on October 21, 1959 in Uonuma, Japan. Both of his parents were teachers: his mother taught general education and his dad taught calligraphy. He became interested in acting at the age of 24, when a director of England's National Theater Company, where he was studying, told him that acting was his special gift. In 1978, he ...            ",1959-10-21
65,Tom Hardy,https://m.media-amazon.com/images/M/MV5BMTQ3ODEyNjA4Nl5BMl5BanBnXkFtZTgwMTE4ODMyMjE@._V1_.jpg,"
With his breakthrough performance as Eames in ",1977-9-15
66,Bruce Allpress,https://m.media-amazon.com/images/M/MV5BMjIzMTc1NTAyNV5BMl5BanBnXkFtZTcwMzkxODIwOA@@._V1_.jpg,"
Bruce Allpress was born on August 25, 1930 in Dunedin, Otago, New Zealand. He was an actor, known for ",1930-8-25
67,John Bach,https://m.media-amazon.com/images/M/MV5BMTg1Mjg2MzM0OV5BMl5BanBnXkFtZTcwMDQ2NzMwOA@@._V1_.jpg,"
John Bach was born on June 5, 1946 in Wales. He is known for ",1946-6-5
68,Billy Boyd,https://m.media-amazon.com/images/M/MV5BMTQzOTEyMTQ3OF5BMl5BanBnXkFtZTYwNzkzMDk1._V1_.jpg,"
Billy Boyd was born in 1968 in Glasgow, Scotland, to Mary and William Boyd. The talented young boy, inspired by Star Wars to try acting, got his first taste of it in his school's production of Oliver Twist when he was 10. Boyd's parents were extremely supportive, driving over two hours to get him to the performances, but sadly they passed away when...            ",1968-8-28
69,Jed Brophy,https://m.media-amazon.com/images/M/MV5BMjA3MDc1MzM1Nl5BMl5BanBnXkFtZTgwNzA0MTc2NzE@._V1_.jpg,"
Jed Brophy was born in 1963. He is known for ",1963-0-0
70,Brad Dourif,https://m.media-amazon.com/images/M/MV5BMTYxNTA2MDExOF5BMl5BanBnXkFtZTcwNDE0MDAxMw@@._V1_.jpg,"
Gaunt character actor Brad Dourif was born Bradford Claude Dourif on March 18, 1950 in Huntington, West Virginia. He is the son of Joan Mavis Felton (Bradford) and Jean Henri Dourif, a French-born art collector who owned and operated a dye factory. His father died when Dourif was three years old, after which his mother married Bill Campbell, a ...            ",1950-3-18
71,Mark Hamill,https://m.media-amazon.com/images/M/MV5BOGY2MjI5MDQtOThmMC00ZGIwLWFmYjgtYWU4MzcxOGEwMGVkXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_.jpg,"
Mark Hamill is best known for his portrayal of Luke Skywalker in the original Star Wars trilogy - ",1951-9-25
72,Harrison Ford,https://m.media-amazon.com/images/M/MV5BMTY4Mjg0NjIxOV5BMl5BanBnXkFtZTcwMTM2NTI3MQ@@._V1_.jpg,"
Harrison Ford was born on July 13, 1942 in Chicago, Illinois, to Dorothy (Nidelman), a radio actress, and Christopher Ford (born John William Ford), an actor turned advertising executive. His father was of Irish and German ancestry, while his maternal grandparents were Jewish emigrants from Minsk, Belarus. Harrison was a lackluster student at ...            ",1942-7-13
73,Carrie Fisher,https://m.media-amazon.com/images/M/MV5BMjM4ODU5MDY4MV5BMl5BanBnXkFtZTgwODY1MjQ5MDI@._V1_.jpg,"
Carrie Frances Fisher was born on October 21, 1956 in Burbank, California, to singers/actors ",1956-10-21
74,Billy Dee Williams,https://m.media-amazon.com/images/M/MV5BNDI4MDQ2NTUzNV5BMl5BanBnXkFtZTYwNjA4NzUz._V1_.jpg,"
Billy Dee Williams was born William December Williams on April 6, 1937 in New York City. Billy Dee has notched up an impressive array of film and television appearances over the past 50+ years. He is easily best known to international film audiences as the roguish Lando Calrissian in the last two episodes of the original Star Wars trilogy: ",1937-4-6
75,Anthony Daniels,https://m.media-amazon.com/images/M/MV5BMzg3MzU2NTUxMF5BMl5BanBnXkFtZTcwMTE1NjI4NA@@._V1_.jpg,"
Initially not a science fiction fan, theatre actor Anthony Daniels was persuaded by his agent to meet ",1946-2-21
76,Keanu Reeves,https://m.media-amazon.com/images/M/MV5BNmNlNGU0ZDgtMDg3MS00ZGZmLTg4ZjMtYjMyZjVmNzlhNWIwXkEyXkFqcGdeQXVyMTE1MTYxNDAw._V1_.jpg,"
Keanu Charles Reeves, whose first name means ""cool breeze over the mountains"" in Hawaiian, was born September 2, 1964 in Beirut, Lebanon. He is the son of ",1964-9-2
